Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301010820,Chek Lap Kok,16.1,13.4
202301010820,Cheung Chau,14.5,12.9
202301010820,Clear Water Bay,15.5,13.0
202301010820,Happy Valley,16.7,15.3
202301010820,HK Observatory,16.3,14.5
202301010820,HK Park,16.0,14.6
202301010820,Kai Tak Runway Park,16.5,14.6
202301010820,Kau Sai Chau,14.1,12.2
202301010820,King's Park,15.6,13.7
202301010820,Kowloon City,15.0,13.2
202301010820,Kwun Tong,15.8,13.3
202301010820,Lau Fau Shan,13.5,11.6
202301010820,Ngong Ping,10.4 /
202301010820,Pak Tam Chung,13.0,10.8
202301010820,Peng Chau,15.3,13.2
202301010820,Sai Kung,15.3,13.0
202301010820,Sha Tin,15.4,13.3
202301010820,Sham Shui Po,15.4,13.7
202301010820,Shau Kei Wan,15.6,13.9
202301010820,Shek Kong,12.6,11.2
202301010820,Sheung Shui,13.2,12.0
202301010820,Stanley,16.3,14.5
202301010820,Ta Kwu Ling,12.0 /
202301010820,Tai Lung,12.5,10.3
202301010820,Tai Mei Tuk,14.5,12.5
202301010820,Tai Mo Shan,11.2 /
202301010820,Tai Po,14.0,12.0
202301010820,Tate's Cairn,11.5 /
202301010820,The Peak,13.0,11.4
202301010820,Tseung Kwan O,15.2,13.4
202301010820,Tsing Yi,16.4,14.5
202301010820,Tsuen Wan Ho Koon,13.8,11.7
202301010820,Tsuen Wan Shing Mun Valley,14.5,11.6
202301010820,Tuen Mun,14.7,13.0
202301010820,Waglan Island,15.8,13.9
202301010820,Wetland Park,13.5,11.8
202301010820,Wong Chuk Hang,16.2,14.9
202301010820,Wong Tai Sin,15.6,13.9
202301010820,Yuen Long Park,13.5,11.9
