Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301131500,Chek Lap Kok,24.4,20.4
202301131500,Cheung Chau,20.9,18.9
202301131500,Clear Water Bay,21.8,17.8*
202301131500,Happy Valley,24.4,19.9
202301131500,HK Observatory,23.9,18.9
202301131500,HK Park,22.9,18.9
202301131500,Kai Tak Runway Park,23.7,18.6
202301131500,Kau Sai Chau,21.6,18.1
202301131500,King's Park,23.6,18.6
202301131500,Kowloon City,23.0,18.5
202301131500,Kwun Tong,23.0,18.3
202301131500,Lau Fau Shan,23.2,19.6
202301131500,Ngong Ping,19.8,18.6
202301131500,Pak Tam Chung,21.3,18.1
202301131500,Peng Chau,22.4,19.3
202301131500,Sai Kung,20.6,18.4
202301131500,Sha Tin,23.8,19.8
202301131500,Sham Shui Po,23.9,19.7
202301131500,Shau Kei Wan,21.9,17.9
202301131500,Shek Kong,24.0,20.5
202301131500,Sheung Shui,23.3,19.8
202301131500,Stanley,21.5,18.3
202301131500,Ta Kwu Ling,23.5,19.4
202301131500,Tai Lung,24.5,19.7
202301131500,Tai Mei Tuk,22.3,18.7
202301131500,Tai Mo Shan,18.3,16.2
202301131500,Tai Po,21.8,19.1
202301131500,Tate's Cairn,19.6,16.0
202301131500,The Peak,20.7,19.0
202301131500,Tseung Kwan O,22.3,18.1
202301131500,Tsing Yi,23.2,20.2
202301131500,Tsuen Wan Ho Koon,21.5,19.4
202301131500,Tsuen Wan Shing Mun Valley,22.9,20.1
202301131500,Tuen Mun,22.0,20.4
202301131500,Waglan Island,20.0,17.4
202301131500,Wetland Park,24.0,20.1
202301131500,Wong Chuk Hang,23.2,21.2
202301131500,Wong Tai Sin,24.1,19.6
202301131500,Yuen Long Park,23.3,20.0
