Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301132320,Chek Lap Kok,25.4,20.4
202301132320,Cheung Chau,20.9,18.9
202301132320,Clear Water Bay,22.6,17.8*
202301132320,Happy Valley,24.4,19.9
202301132320,HK Observatory,23.9,18.9
202301132320,HK Park,23.1,18.9
202301132320,Kai Tak Runway Park,23.7,18.6
202301132320,Kau Sai Chau,21.6,18.1
202301132320,King's Park,23.6,18.6
202301132320,Kowloon City,23.0,18.5
202301132320,Kwun Tong,23.0,18.3
202301132320,Lau Fau Shan,23.2,19.6
202301132320,Ngong Ping,19.8,18.6
202301132320,Pak Tam Chung,21.3,18.1
202301132320,Peng Chau,22.4,19.3
202301132320,Sai Kung,21.0,18.4
202301132320,Sha Tin,23.8,19.8
202301132320,Sham Shui Po,23.9,19.7
202301132320,Shau Kei Wan,23.0,17.9
202301132320,Shek Kong,24.0,20.5
202301132320,Sheung Shui,23.3,19.8
202301132320,Stanley,21.9,18.3
202301132320,Ta Kwu Ling,23.5,19.4
202301132320,Tai Lung,24.5,19.7
202301132320,Tai Mei Tuk,22.3,18.7
202301132320,Tai Mo Shan,18.3,16.2
202301132320,Tai Po,21.8,19.1
202301132320,Tate's Cairn,19.7,16.0
202301132320,The Peak,20.7,19.0*
202301132320,Tseung Kwan O,22.3,18.1
202301132320,Tsing Yi,23.2,20.2
202301132320,Tsuen Wan Ho Koon,21.5,19.4
202301132320,Tsuen Wan Shing Mun Valley,22.9,20.1
202301132320,Tuen Mun,22.3,20.4
202301132320,Waglan Island,21.5,17.4
202301132320,Wetland Park,24.1,20.1
202301132320,Wong Chuk Hang,23.2,21.2
202301132320,Wong Tai Sin,24.1,19.6
202301132320,Yuen Long Park,23.8,20.0
