Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301110410,Chek Lap Kok,18.1,17.3
202301110410,Cheung Chau,16.4,15.4
202301110410,Clear Water Bay,17.2,16.3
202301110410,Happy Valley,18.1,17.1
202301110410,HK Observatory,18.0,17.1
202301110410,HK Park,17.4,16.7
202301110410,Kai Tak Runway Park,17.9,17.0
202301110410,Kau Sai Chau,16.8,16.2
202301110410,King's Park,17.5,16.5
202301110410,Kowloon City,17.2,16.1
202301110410,Kwun Tong,17.1,16.1
202301110410,Lau Fau Shan,16.5,16.3
202301110410,Ngong Ping,13.8,13.3
202301110410,Pak Tam Chung,16.7,16.3
202301110410,Peng Chau,17.5,17.0
202301110410,Sai Kung,17.8,17.0
202301110410,Sha Tin,17.9,17.4
202301110410,Sham Shui Po,17.6,16.9
202301110410,Shau Kei Wan,17.0,16.2
202301110410,Shek Kong,17.1,16.9
202301110410,Sheung Shui,17.0,16.5
202301110410,Stanley,17.5,16.4
202301110410,Ta Kwu Ling,16.5,16.2
202301110410,Tai Lung,16.9,16.6
202301110410,Tai Mei Tuk,16.6,16.3
202301110410,Tai Mo Shan,12.3,11.7
202301110410,Tai Po,17.0,16.6
202301110410,Tate's Cairn,13.9,13.1
202301110410,The Peak,15.0,14.0
202301110410,Tseung Kwan O,17.2,16.5
202301110410,Tsing Yi,18.3,17.2
202301110410,Tsuen Wan Ho Koon,16.2,15.7
202301110410,Tsuen Wan Shing Mun Valley,17.2,16.4
202301110410,Tuen Mun,17.1,16.9
202301110410,Waglan Island,17.3,16.1
202301110410,Wetland Park,17.2,16.8
202301110410,Wong Chuk Hang,18.2,17.0
202301110410,Wong Tai Sin,18.0,16.9
202301110410,Yuen Long Park,16.6,16.4
