Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301020350,Chek Lap Kok,18.3,17.1
202301020350,Cheung Chau,16.3,16.0
202301020350,Clear Water Bay,16.8,15.9
202301020350,Happy Valley,18.2,18.0
202301020350,HK Observatory,17.9,17.3
202301020350,HK Park,17.3,17.0
202301020350,Kai Tak Runway Park,17.9,17.6
202301020350,Kau Sai Chau,15.4,15.0
202301020350,King's Park,17.1,16.8
202301020350,Kowloon City,N/A /
202301020350,Kwun Tong,16.8,16.3
202301020350,Lau Fau Shan,16.1,15.7
202301020350,Ngong Ping,13.7,11.6
202301020350,Pak Tam Chung,14.5,14.1
202301020350,Peng Chau,17.1,16.6
202301020350,Sai Kung,16.8,16.1
202301020350,Sha Tin,16.7,16.2
202301020350,Sham Shui Po,16.9,16.6
202301020350,Shau Kei Wan,16.8,16.3
202301020350,Shek Kong,15.9,15.1
202301020350,Sheung Shui,16.4,15.7
202301020350,Stanley,17.3,16.8
202301020350,Ta Kwu Ling,14.9,14.3
202301020350,Tai Lung,15.2,14.6
202301020350,Tai Mei Tuk,15.9,15.2
202301020350,Tai Mo Shan,11.6,10.5
202301020350,Tai Po,15.6,14.7
202301020350,Tate's Cairn,13.1,11.8
202301020350,The Peak,14.6,14.2
202301020350,Tseung Kwan O,16.9,16.2
202301020350,Tsing Yi,18.4,17.5
202301020350,Tsuen Wan Ho Koon,16.1,15.4
202301020350,Tsuen Wan Shing Mun Valley,17.5,16.4
202301020350,Tuen Mun,16.8,16.0
202301020350,Waglan Island,16.9,16.2
202301020350,Wetland Park,16.5,15.8
202301020350,Wong Chuk Hang,18.1,17.7
202301020350,Wong Tai Sin,17.5,16.8
202301020350,Yuen Long Park,16.4,15.9
