Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301011840,Chek Lap Kok,17.9,13.4
202301011840,Cheung Chau,19.6,12.9
202301011840,Clear Water Bay,19.1,13.0
202301011840,Happy Valley,20.8,15.3
202301011840,HK Observatory,19.3,14.5
202301011840,HK Park,19.0,14.6
202301011840,Kai Tak Runway Park,20.2,14.6
202301011840,Kau Sai Chau,19.4,12.2
202301011840,King's Park,19.5,13.7
202301011840,Kowloon City,19.6,13.2*
202301011840,Kwun Tong,19.8,13.3
202301011840,Lau Fau Shan,17.1,11.6
202301011840,Ngong Ping,13.8 /
202301011840,Pak Tam Chung,18.5,10.8
202301011840,Peng Chau,17.9,13.2
202301011840,Sai Kung,18.1,13.0
202301011840,Sha Tin,19.0,13.3
202301011840,Sham Shui Po,21.0,13.7
202301011840,Shau Kei Wan,19.5,13.9
202301011840,Shek Kong,18.0,11.2
202301011840,Sheung Shui,17.9,12.0
202301011840,Stanley,19.5,14.5
202301011840,Ta Kwu Ling,17.6 /
202301011840,Tai Lung,18.1,10.3
202301011840,Tai Mei Tuk,19.8,12.5
202301011840,Tai Mo Shan,14.6 /
202301011840,Tai Po,18.3,12.0
202301011840,Tate's Cairn,15.2 /
202301011840,The Peak,17.1,11.4
202301011840,Tseung Kwan O,19.9,13.4
202301011840,Tsing Yi,20.9,14.5
202301011840,Tsuen Wan Ho Koon,17.7,11.7
202301011840,Tsuen Wan Shing Mun Valley,21.6,11.6
202301011840,Tuen Mun,18.1,13.0
202301011840,Waglan Island,19.0,13.9
202301011840,Wetland Park,19.3,11.8
202301011840,Wong Chuk Hang,20.7,14.9
202301011840,Wong Tai Sin,20.2,13.9
202301011840,Yuen Long Park,18.4,11.9
