Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301090150,Chek Lap Kok,18.3,17.8
202301090150,Cheung Chau,17.8,17.4
202301090150,Clear Water Bay,17.4,17.1
202301090150,Happy Valley,19.2,18.7
202301090150,HK Observatory,18.6,18.4
202301090150,HK Park,18.5,18.1
202301090150,Kai Tak Runway Park,18.8,18.4
202301090150,Kau Sai Chau,16.3,16.0
202301090150,King's Park,18.4,17.8
202301090150,Kowloon City,18.6,18.3
202301090150,Kwun Tong,18.6,17.9
202301090150,Lau Fau Shan,16.5,15.9
202301090150,Ngong Ping,14.8,14.0
202301090150,Pak Tam Chung,15.4,15.3
202301090150,Peng Chau,18.6,18.0
202301090150,Sai Kung,17.2,16.8
202301090150,Sha Tin,17.6,17.3
202301090150,Sham Shui Po,18.8,18.0
202301090150,Shau Kei Wan,17.7,17.3
202301090150,Shek Kong,18.0,17.2
202301090150,Sheung Shui,17.1,17.0
202301090150,Stanley,18.4,17.8
202301090150,Ta Kwu Ling,16.1,15.9
202301090150,Tai Lung,16.8,16.6
202301090150,Tai Mei Tuk,16.5,16.1
202301090150,Tai Mo Shan,12.1,11.4
202301090150,Tai Po,17.5,16.7
202301090150,Tate's Cairn,14.1,13.7
202301090150,The Peak,16.2,15.8
202301090150,Tseung Kwan O,17.8,17.2
202301090150,Tsing Yi,19.9,19.5
202301090150,Tsuen Wan Ho Koon,17.9,17.7
202301090150,Tsuen Wan Shing Mun Valley,18.8,18.6
202301090150,Tuen Mun,17.4,17.1
202301090150,Waglan Island,17.2,16.8
202301090150,Wetland Park,16.9,16.7
202301090150,Wong Chuk Hang,20.1,19.8
202301090150,Wong Tai Sin,20.1,19.8
202301090150,Yuen Long Park,16.7,16.5
