Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301010450,Chek Lap Kok,16.1,13.9
202301010450,Cheung Chau,14.5,12.9
202301010450,Clear Water Bay,15.5,13.3
202301010450,Happy Valley,16.7,15.5
202301010450,HK Observatory,16.3,14.9
202301010450,HK Park,16.0,14.8
202301010450,Kai Tak Runway Park,16.5,14.9
202301010450,Kau Sai Chau,14.1,12.4
202301010450,King's Park,15.6,14.2
202301010450,Kowloon City,15.0,13.4
202301010450,Kwun Tong,15.8,13.4
202301010450,Lau Fau Shan,13.5,12.2
202301010450,Ngong Ping,10.4 /
202301010450,Pak Tam Chung,13.0,10.8
202301010450,Peng Chau,15.3,13.5
202301010450,Sai Kung,15.3,13.3
202301010450,Sha Tin,15.4,13.6
202301010450,Sham Shui Po,15.4,14.1
202301010450,Shau Kei Wan,15.6,14.1
202301010450,Shek Kong,12.6,11.2
202301010450,Sheung Shui,13.2,12.1
202301010450,Stanley,16.3,14.7
202301010450,Ta Kwu Ling,10.9 /
202301010450,Tai Lung,12.1,10.3
202301010450,Tai Mei Tuk,14.5,12.7
202301010450,Tai Mo Shan,10.4 /
202301010450,Tai Po,14.0,12.4
202301010450,Tate's Cairn,11.5 /
202301010450,The Peak,13.0,11.5
202301010450,Tseung Kwan O,15.2,13.5
202301010450,Tsing Yi,16.4,14.5
202301010450,Tsuen Wan Ho Koon,13.8,12.0
202301010450,Tsuen Wan Shing Mun Valley,14.5,11.6
202301010450,Tuen Mun,14.7,13.3
202301010450,Waglan Island,15.8,14.2
202301010450,Wetland Park,12.8,11.8
202301010450,Wong Chuk Hang,16.2,15.0
202301010450,Wong Tai Sin,15.6,14.2
202301010450,Yuen Long Park,13.5,12.1
